CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
02.382.073/0001-10;2025-06-30;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.382.073/0001-10;2025-09-30;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.387.241/0001-60;2025-03-31;1;RUMO S.A.;1854868949;0;1854868949;4119942;0;4119942
02.387.241/0001-60;2025-06-30;1;RUMO S.A.;1854868949;0;1854868949;4007721;0;4007721
02.387.241/0001-60;2025-09-30;1;RUMO S.A.;1858828617;0;1858828617;3054945;0;3054945
02.397.080/0001-96;2025-03-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.397.080/0001-96;2025-06-30;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.397.080/0001-96;2025-09-30;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.421.421/0001-11;2025-03-31;2;TIM S.A.;2420804398;0;2420804398;1000120;0;1000120
02.421.421/0001-11;2025-06-30;1;TIM S.A.;2420804398;0;2420804398;3104020;0;3104020
02.421.421/0001-11;2025-09-30;1;TIM S.A.;2420804398;0;2420804398;15883409;0;15883409
02.429.144/0001-93;2025-03-31;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.429.144/0001-93;2025-06-30;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.429.144/0001-93;2025-09-30;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.451.848/0001-62;2025-03-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.451.848/0001-62;2025-06-30;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.451.848/0001-62;2025-09-30;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.474.103/0001-19;2025-03-31;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.474.103/0001-19;2025-06-30;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.474.103/0001-19;2025-09-30;2;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.502.844/0001-66;2025-03-31;1;RUMO MALHA PAULISTA S.A.;3389672517622;6267908826998;9657581344620;0;0;0
02.502.844/0001-66;2025-06-30;1;RUMO MALHA PAULISTA S.A.;3389672517622;6267908826998;9657581344620;0;0;0
02.502.844/0001-66;2025-09-30;1;RUMO MALHA PAULISTA S.A.;3389672517622;6267908826998;9657581344620;0;0;0
02.509.491/0001-26;2025-03-31;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
02.509.491/0001-26;2025-06-30;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
02.509.491/0001-26;2025-09-30;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
02.536.066/0001-26;2025-03-31;1;VITAL ENGENHARIA AMBIENTAL S.A.;6729518;4297542;11027060;0;0;0
02.536.066/0001-26;2025-06-30;1;VITAL ENGENHARIA AMBIENTAL S.A.;7679125;3347935;11027060;0;0;0
02.536.066/0001-26;2025-09-30;1;VITAL ENGENHARIA AMBIENTAL S.A.;7679125;3347935;11027060;0;0;0
02.558.157/0001-62;2025-03-31;1;TELEFÔNICA BRASIL S.A;1630643696;0;1630643696;10601892;0;10601892
02.558.157/0001-62;2025-06-30;1;TELEFÔNICA BRASIL S.A;3261287392;0;3261287392;34740940;0;34740940
02.558.157/0001-62;2025-09-30;1;TELEFÔNICA BRASIL S.A;3226546622;0;3226546622;21581970;0;21581970
02.560.878/0001-07;2025-03-31;1;HOSPITAL ANCHIETA S.A.;62783;0;62783;0;0;0
